CheckInID,MemberID,CheckInDate,CheckInHour,ClassAttended,DurationMinutes,DayOfWeek,Month,TimeSlot
CI000001,M0001,2025-05-18,10,HIIT,52,Sunday,2025-05,Morning
CI000002,M0002,2025-08-06,7,Pilates,32,Wednesday,2025-08,Early Morning
CI000003,M0002,2025-07-14,11,Spin,72,Monday,2025-07,Morning
CI000004,M0002,2025-06-01,16,Pilates,85,Sunday,2025-06,Afternoon
CI000005,M0002,2025-04-04,19,Gym Floor,39,Friday,2025-04,Evening
CI000006,M0002,2025-05-19,8,Gym Floor,62,Monday,2025-05,Early Morning
CI000007,M0002,2025-05-24,18,Gym Floor,70,Saturday,2025-05,Evening
CI000008,M0002,2025-05-08,20,Yoga,46,Thursday,2025-05,Night
CI000009,M0002,2025-08-12,8,Yoga,57,Tuesday,2025-08,Early Morning
CI000010,M0002,2025-05-25,19,Gym Floor,37,Sunday,2025-05,Evening
CI000011,M0002,2025-08-30,18,Gym Floor,61,Saturday,2025-08,Evening
CI000012,M0002,2025-07-05,12,Cardio,66,Saturday,2025-07,Morning
CI000013,M0002,2025-07-03,10,CrossFit,37,Thursday,2025-07,Morning
CI000014,M0002,2025-08-30,6,Gym Floor,68,Saturday,2025-08,Early Morning
CI000015,M0002,2025-04-03,6,CrossFit,42,Thursday,2025-04,Early Morning
CI000016,M0002,2025-08-29,10,Zumba,58,Friday,2025-08,Morning
CI000017,M0002,2025-08-17,19,Gym Floor,53,Sunday,2025-08,Evening
CI000018,M0002,2025-06-06,16,Gym Floor,55,Friday,2025-06,Afternoon
CI000019,M0002,2025-07-24,21,Gym Floor,59,Thursday,2025-07,Night
CI000020,M0002,2025-04-18,19,Spin,25,Friday,2025-04,Evening
CI000021,M0002,2025-05-17,19,HIIT,66,Saturday,2025-05,Evening
CI000022,M0002,2025-07-06,19,CrossFit,45,Sunday,2025-07,Evening
CI000023,M0002,2025-05-04,20,CrossFit,23,Sunday,2025-05,Night
CI000024,M0002,2025-06-07,10,Strength Training,63,Saturday,2025-06,Morning
