MemberID,Gender,Age,AgeGroup,JoinDate,MembershipPlan,MonthlyFee,PlanPrice,Status,PreferredClass,City,TenureMonths,IsActive,TotalVisits,AvgDuration,LastVisit,UniqueClasses
M0001,Male,38,35-44,2024-05-10,Basic,29.99,29.99,Expired,Strength Training,Islamabad,15.7,0,1,52.0,2025-05-18,1
M0002,Male,20,18-24,2022-03-29,Standard,49.99,49.99,Active,HIIT,Rawalpindi,41.1,1,27,52.2,2025-08-30,9
M0003,Male,50,45-54,2024-03-16,Basic,29.99,29.99,Cancelled,Pilates,Faisalabad,17.5,0,4,47.5,2025-08-12,4
M0004,Male,59,55+,2024-01-18,Basic,29.99,29.99,Active,Cardio,Multan,19.4,1,18,57.7,2025-08-01,7
M0005,Female,20,18-24,2024-08-15,Premium,79.99,79.99,Active,Zumba,Faisalabad,12.5,1,49,56.2,2025-08-30,9
M0006,Female,31,25-34,2024-04-20,Basic,29.99,29.99,Cancelled,Yoga,Karachi,16.4,0,1,56.0,2025-03-18,1
M0007,Female,24,18-24,2023-07-19,Basic,29.99,29.99,Active,CrossFit,Islamabad,25.5,1,7,49.9,2025-08-27,5
M0008,Male,21,18-24,2022-07-25,Standard,49.99,49.99,Active,Pilates,Multan,37.3,1,12,50.1,2025-08-29,4
M0009,Female,27,25-34,2023-12-04,Premium,79.99,79.99,Active,Pilates,Multan,20.9,1,25,54.0,2025-08-24,8
M0010,Male,62,55+,2024-10-13,Annual,33.33,399.99,Expired,Spin,Karachi,10.6,0,4,61.8,2025-07-25,3
M0011,Male,58,55+,2022-08-05,Basic,29.99,29.99,Active,Spin,Lahore,36.9,1,20,55.6,2025-08-31,8
M0012,Male,41,35-44,2023-06-05,Premium,79.99,79.99,Active,Strength Training,Lahore,26.9,1,41,52.3,2025-08-31,9
M0013,Female,22,18-24,2023-01-27,Premium,79.99,79.99,Expired,HIIT,Lahore,31.1,0,2,64.0,2025-05-08,2
M0014,Male,51,45-54,2024-11-17,Annual,33.33,399.99,Active,Zumba,Multan,9.5,1,23,61.0,2025-08-27,9
M0015,Female,44,35-44,2024-03-15,Premium,79.99,79.99,Expired,Strength Training,Faisalabad,17.6,0,7,52.3,2025-07-22,5
M0016,Male,31,25-34,2023-10-05,Premium,79.99,79.99,Expired,Yoga,Karachi,22.9,0,0,0.0,,0
M0017,Male,56,55+,2024-06-10,Basic,29.99,29.99,Active,Spin,Rawalpindi,14.7,1,9,46.8,2025-08-06,7
M0018,Male,60,55+,2023-04-30,Basic,29.99,29.99,Active,Spin,Islamabad,28.1,1,14,54.0,2025-08-24,5
M0019,Male,23,18-24,2023-08-01,Standard,49.99,49.99,Active,Cardio,Rawalpindi,25.0,1,14,56.9,2025-08-17,6
M0020,Female,30,25-34,2022-07-09,Basic,29.99,29.99,Active,Zumba,Multan,37.8,1,20,51.6,2025-08-30,8
M0021,Male,59,55+,2023-10-11,Standard,49.99,49.99,Expired,Zumba,Islamabad,22.7,0,10,57.8,2025-08-15,5
M0022,Female,19,18-24,2023-03-18,Annual,33.33,399.99,Active,Spin,Lahore,29.5,1,14,55.4,2025-08-29,7
M0023,Male,19,18-24,2024-08-09,Basic,29.99,29.99,Expired,Zumba,Faisalabad,12.7,0,10,45.9,2025-08-25,7
M0024,Male,61,55+,2023-01-20,Basic,29.99,29.99,Active,Pilates,Rawalpindi,31.4,1,22,56.1,2025-08-18,9
M0025,Male,55,55+,2022-07-22,Standard,49.99,49.99,Active,Cardio,Karachi,37.4,1,5,57.2,2025-06-19,4
M0026,Female,33,25-34,2022-07-17,Standard,49.99,49.99,Cancelled,Cardio,Islamabad,37.5,0,2,56.0,2025-06-14,2
M0027,Male,53,45-54,2023-04-09,Basic,29.99,29.99,Expired,Strength Training,Islamabad,28.8,0,9,57.0,2025-08-30,5
M0028,Male,57,55+,2024-05-13,Basic,29.99,29.99,Cancelled,HIIT,Lahore,15.6,0,7,51.0,2025-08-12,3
M0029,Male,59,55+,2023-04-18,Basic,29.99,29.99,Active,Cardio,Karachi,28.5,1,13,60.1,2025-08-24,6
M0030,Other,19,18-24,2023-09-16,Standard,49.99,49.99,Active,Pilates,Rawalpindi,23.5,1,19,51.3,2025-08-29,7
M0031,Male,26,25-34,2023-03-29,Annual,33.33,399.99,Active,Strength Training,Islamabad,29.1,1,18,53.8,2025-08-24,7
M0032,Female,41,35-44,2023-02-08,Annual,33.33,399.99,Expired,Yoga,Rawalpindi,30.7,0,13,50.5,2025-07-31,7
M0033,Female,42,35-44,2022-04-14,Standard,49.99,49.99,Active,Spin,Karachi,40.6,1,17,64.8,2025-08-31,6
M0034,Other,33,25-34,2024-05-27,Standard,49.99,49.99,Expired,Cardio,Lahore,15.2,0,1,42.0,2025-04-12,1
M0035,Female,25,25-34,2024-03-11,Standard,49.99,49.99,Active,Yoga,Lahore,17.7,1,9,62.1,2025-08-10,5
M0036,Male,39,35-44,2023-11-19,Basic,29.99,29.99,Active,Pilates,Multan,21.4,1,14,55.0,2025-08-15,6
M0037,Male,51,45-54,2023-07-17,Annual,33.33,399.99,Active,Yoga,Rawalpindi,25.5,1,44,56.0,2025-08-26,9
M0038,Female,36,35-44,2024-05-28,Standard,49.99,49.99,Active,CrossFit,Lahore,15.1,1,17,55.1,2025-08-19,6
M0039,Female,63,55+,2022-01-17,Annual,33.33,399.99,Active,Strength Training,Rawalpindi,43.5,1,37,56.3,2025-08-27,9
M0040,Female,48,45-54,2024-11-26,Annual,33.33,399.99,Active,Yoga,Rawalpindi,9.2,1,32,55.6,2025-08-25,9
M0041,Male,50,45-54,2022-07-10,Standard,49.99,49.99,Active,CrossFit,Karachi,37.7,1,5,48.8,2025-08-29,3
M0042,Male,41,35-44,2023-07-20,Premium,79.99,79.99,Expired,Zumba,Multan,25.4,0,10,58.2,2025-08-05,5
M0043,Female,43,35-44,2024-08-19,Basic,29.99,29.99,Active,Yoga,Lahore,12.4,1,15,51.9,2025-08-28,7
M0044,Female,43,35-44,2022-09-03,Standard,49.99,49.99,Active,Yoga,Faisalabad,35.9,1,15,45.8,2025-08-08,6
M0045,Male,62,55+,2024-04-07,Standard,49.99,49.99,Active,CrossFit,Multan,16.8,1,27,56.1,2025-08-31,9
