MemberID,Gender,Age,AgeGroup,JoinDate,MembershipPlan,MonthlyFee,PlanPrice,Status,PreferredClass,City,TenureMonths,IsActive
M0001,Male,38,35-44,2024-05-10,Basic,29.99,29.99,Expired,Strength Training,Islamabad,15.7,0
M0002,Male,20,18-24,2022-03-29,Standard,49.99,49.99,Active,HIIT,Rawalpindi,41.1,1
M0003,Male,50,45-54,2024-03-16,Basic,29.99,29.99,Cancelled,Pilates,Faisalabad,17.5,0
M0004,Male,59,55+,2024-01-18,Basic,29.99,29.99,Active,Cardio,Multan,19.4,1
M0005,Female,20,18-24,2024-08-15,Premium,79.99,79.99,Active,Zumba,Faisalabad,12.5,1
M0006,Female,31,25-34,2024-04-20,Basic,29.99,29.99,Cancelled,Yoga,Karachi,16.4,0
M0007,Female,24,18-24,2023-07-19,Basic,29.99,29.99,Active,CrossFit,Islamabad,25.5,1
M0008,Male,21,18-24,2022-07-25,Standard,49.99,49.99,Active,Pilates,Multan,37.3,1
M0009,Female,27,25-34,2023-12-04,Premium,79.99,79.99,Active,Pilates,Multan,20.9,1
M0010,Male,62,55+,2024-10-13,Annual,33.33,399.99,Expired,Spin,Karachi,10.6,0
M0011,Male,58,55+,2022-08-05,Basic,29.99,29.99,Active,Spin,Lahore,36.9,1
M0012,Male,41,35-44,2023-06-05,Premium,79.99,79.99,Active,Strength Training,Lahore,26.9,1
M0013,Female,22,18-24,2023-01-27,Premium,79.99,79.99,Expired,HIIT,Lahore,31.1,0
M0014,Male,51,45-54,2024-11-17,Annual,33.33,399.99,Active,Zumba,Multan,9.5,1
M0015,Female,44,35-44,2024-03-15,Premium,79.99,79.99,Expired,Strength Training,Faisalabad,17.6,0
M0016,Male,31,25-34,2023-10-05,Premium,79.99,79.99,Expired,Yoga,Karachi,22.9,0
M0017,Male,56,55+,2024-06-10,Basic,29.99,29.99,Active,Spin,Rawalpindi,14.7,1
M0018,Male,60,55+,2023-04-30,Basic,29.99,29.99,Active,Spin,Islamabad,28.1,1
M0019,Male,23,18-24,2023-08-01,Standard,49.99,49.99,Active,Cardio,Rawalpindi,25.0,1
M0020,Female,30,25-34,2022-07-09,Basic,29.99,29.99,Active,Zumba,Multan,37.8,1
M0021,Male,59,55+,2023-10-11,Standard,49.99,49.99,Expired,Zumba,Islamabad,22.7,0
M0022,Female,19,18-24,2023-03-18,Annual,33.33,399.99,Active,Spin,Lahore,29.5,1
M0023,Male,19,18-24,2024-08-09,Basic,29.99,29.99,Expired,Zumba,Faisalabad,12.7,0
M0024,Male,61,55+,2023-01-20,Basic,29.99,29.99,Active,Pilates,Rawalpindi,31.4,1
M0025,Male,55,55+,2022-07-22,Standard,49.99,49.99,Active,Cardio,Karachi,37.4,1
M0026,Female,33,25-34,2022-07-17,Standard,49.99,49.99,Cancelled,Cardio,Islamabad,37.5,0
M0027,Male,53,45-54,2023-04-09,Basic,29.99,29.99,Expired,Strength Training,Islamabad,28.8,0
M0028,Male,57,55+,2024-05-13,Basic,29.99,29.99,Cancelled,HIIT,Lahore,15.6,0
M0029,Male,59,55+,2023-04-18,Basic,29.99,29.99,Active,Cardio,Karachi,28.5,1
M0030,Other,19,18-24,2023-09-16,Standard,49.99,49.99,Active,Pilates,Rawalpindi,23.5,1
M0031,Male,26,25-34,2023-03-29,Annual,33.33,399.99,Active,Strength Training,Islamabad,29.1,1
M0032,Female,41,35-44,2023-02-08,Annual,33.33,399.99,Expired,Yoga,Rawalpindi,30.7,0
M0033,Female,42,35-44,2022-04-14,Standard,49.99,49.99,Active,Spin,Karachi,40.6,1
M0034,Other,33,25-34,2024-05-27,Standard,49.99,49.99,Expired,Cardio,Lahore,15.2,0
M0035,Female,25,25-34,2024-03-11,Standard,49.99,49.99,Active,Yoga,Lahore,17.7,1
M0036,Male,39,35-44,2023-11-19,Basic,29.99,29.99,Active,Pilates,Multan,21.4,1
M0037,Male,51,45-54,2023-07-17,Annual,33.33,399.99,Active,Yoga,Rawalpindi,25.5,1
M0038,Female,36,35-44,2024-05-28,Standard,49.99,49.99,Active,CrossFit,Lahore,15.1,1
M0039,Female,63,55+,2022-01-17,Annual,33.33,399.99,Active,Strength Training,Rawalpindi,43.5,1
M0040,Female,48,45-54,2024-11-26,Annual,33.33,399.99,Active,Yoga,Rawalpindi,9.2,1
M0041,Male,50,45-54,2022-07-10,Standard,49.99,49.99,Active,CrossFit,Karachi,37.7,1
M0042,Male,41,35-44,2023-07-20,Premium,79.99,79.99,Expired,Zumba,Multan,25.4,0
M0043,Female,43,35-44,2024-08-19,Basic,29.99,29.99,Active,Yoga,Lahore,12.4,1
M0044,Female,43,35-44,2022-09-03,Standard,49.99,49.99,Active,Yoga,Faisalabad,35.9,1
M0045,Male,62,55+,2024-04-07,Standard,49.99,49.99,Active,CrossFit,Multan,16.8,1
M0046,Male,32,25-34,2023-02-04,Basic,29.99,29.99,Cancelled,HIIT,Multan,30.9,0
M0047,Female,39,35-44,2022-02-20,Standard,49.99,49.99,Active,Pilates,Lahore,42.3,1
M0048,Female,54,45-54,2023-11-13,Premium,79.99,79.99,Active,Spin,Rawalpindi,21.6,1
M0049,Male,23,18-24,2024-09-30,Annual,33.33,399.99,Active,Cardio,Multan,11.0,1
M0050,Female,33,25-34,2022-02-16,Premium,79.99,79.99,Active,Cardio,Karachi,42.5,1
M0051,Male,43,35-44,2023-10-19,Standard,49.99,49.99,Active,Spin,Multan,22.4,1
M0052,Male,18,18-24,2024-03-01,Standard,49.99,49.99,Expired,Yoga,Karachi,18.0,0
M0053,Female,18,18-24,2023-07-14,Basic,29.99,29.99,Cancelled,Zumba,Faisalabad,25.6,0
M0054,Male,43,35-44,2024-02-29,Premium,79.99,79.99,Active,Spin,Multan,18.1,1
M0055,Male,64,55+,2023-11-28,Standard,49.99,49.99,Active,Pilates,Multan,21.1,1
M0056,Male,43,35-44,2024-10-08,Basic,29.99,29.99,Active,Zumba,Rawalpindi,10.8,1
M0057,Female,22,18-24,2022-12-23,Standard,49.99,49.99,Expired,Cardio,Karachi,32.3,0
M0058,Female,22,18-24,2024-02-01,Annual,33.33,399.99,Active,CrossFit,Karachi,19.0,1
M0059,Female,37,35-44,2023-05-12,Annual,33.33,399.99,Active,HIIT,Islamabad,27.7,1
M0060,Female,60,55+,2023-01-15,Basic,29.99,29.99,Cancelled,Strength Training,Lahore,31.5,0
M0061,Male,48,45-54,2024-12-02,Basic,29.99,29.99,Active,Spin,Islamabad,9.0,1
M0062,Male,25,25-34,2024-01-24,Premium,79.99,79.99,Active,HIIT,Karachi,19.3,1
M0063,Female,21,18-24,2024-10-18,Premium,79.99,79.99,Active,HIIT,Faisalabad,10.4,1
M0064,Female,38,35-44,2025-01-03,Annual,33.33,399.99,Active,Cardio,Karachi,7.9,1
M0065,Male,52,45-54,2023-04-02,Standard,49.99,49.99,Expired,HIIT,Lahore,29.0,0
M0066,Male,54,45-54,2022-04-06,Standard,49.99,49.99,Cancelled,Zumba,Faisalabad,40.9,0
M0067,Female,34,25-34,2022-10-06,Premium,79.99,79.99,Active,Cardio,Lahore,34.9,1
M0068,Female,29,25-34,2023-02-01,Annual,33.33,399.99,Active,Strength Training,Rawalpindi,31.0,1
M0069,Male,36,35-44,2022-09-22,Standard,49.99,49.99,Cancelled,CrossFit,Faisalabad,35.3,0
M0070,Female,38,35-44,2024-12-28,Basic,29.99,29.99,Active,Zumba,Lahore,8.1,1
M0071,Other,56,55+,2024-11-28,Basic,29.99,29.99,Active,HIIT,Faisalabad,9.1,1
M0072,Female,29,25-34,2024-01-03,Standard,49.99,49.99,Active,HIIT,Rawalpindi,19.9,1
M0073,Male,30,25-34,2024-07-01,Basic,29.99,29.99,Active,Yoga,Karachi,14.0,1
M0074,Male,54,45-54,2024-03-05,Premium,79.99,79.99,Active,CrossFit,Faisalabad,17.9,1
M0075,Female,62,55+,2023-05-15,Basic,29.99,29.99,Cancelled,Pilates,Rawalpindi,27.6,0
M0076,Female,27,25-34,2023-03-21,Standard,49.99,49.99,Expired,Zumba,Multan,29.4,0
M0077,Male,37,35-44,2022-06-22,Basic,29.99,29.99,Active,Spin,Lahore,38.3,1
M0078,Female,42,35-44,2024-10-21,Premium,79.99,79.99,Active,Pilates,Faisalabad,10.3,1
M0079,Male,62,55+,2022-05-14,Premium,79.99,79.99,Cancelled,Spin,Multan,39.6,0
M0080,Female,36,35-44,2022-07-22,Annual,33.33,399.99,Active,HIIT,Lahore,37.4,1
M0081,Female,27,25-34,2023-10-18,Premium,79.99,79.99,Cancelled,CrossFit,Multan,22.5,0
M0082,Female,45,45-54,2024-08-29,Basic,29.99,29.99,Active,CrossFit,Karachi,12.1,1
M0083,Female,44,35-44,2023-06-24,Basic,29.99,29.99,Cancelled,Yoga,Lahore,26.3,0
M0084,Male,46,45-54,2024-07-17,Standard,49.99,49.99,Expired,Strength Training,Faisalabad,13.5,0
M0085,Female,64,55+,2023-01-25,Annual,33.33,399.99,Active,HIIT,Multan,31.2,1
M0086,Male,18,18-24,2024-05-26,Basic,29.99,29.99,Active,Zumba,Lahore,15.2,1
M0087,Female,44,35-44,2024-05-02,Premium,79.99,79.99,Active,Yoga,Karachi,16.0,1
M0088,Female,23,18-24,2022-04-15,Standard,49.99,49.99,Active,Spin,Faisalabad,40.6,1
M0089,Female,54,45-54,2024-02-10,Standard,49.99,49.99,Expired,Strength Training,Lahore,18.7,0
M0090,Male,30,25-34,2023-04-02,Basic,29.99,29.99,Cancelled,Yoga,Lahore,29.0,0
M0091,Male,25,25-34,2023-05-03,Standard,49.99,49.99,Active,HIIT,Karachi,28.0,1
M0092,Female,29,25-34,2023-03-14,Premium,79.99,79.99,Active,Cardio,Faisalabad,29.6,1
M0093,Male,64,55+,2024-09-16,Annual,33.33,399.99,Active,Spin,Faisalabad,11.5,1
M0094,Male,51,45-54,2023-08-01,Premium,79.99,79.99,Cancelled,HIIT,Karachi,25.0,0
M0095,Male,51,45-54,2024-03-08,Standard,49.99,49.99,Active,Pilates,Lahore,17.8,1
M0096,Female,59,55+,2024-09-10,Annual,33.33,399.99,Active,Spin,Faisalabad,11.7,1
M0097,Male,34,25-34,2024-06-18,Standard,49.99,49.99,Cancelled,CrossFit,Faisalabad,14.5,0
M0098,Female,60,55+,2023-06-30,Standard,49.99,49.99,Active,Strength Training,Islamabad,26.1,1
M0099,Male,48,45-54,2022-04-21,Basic,29.99,29.99,Active,CrossFit,Rawalpindi,40.4,1
M0100,Male,49,45-54,2022-12-26,Premium,79.99,79.99,Active,Spin,Karachi,32.2,1
M0101,Male,22,18-24,2022-03-02,Basic,29.99,29.99,Active,HIIT,Faisalabad,42.0,1
M0102,Male,58,55+,2023-06-18,Basic,29.99,29.99,Active,Pilates,Karachi,26.5,1
M0103,Male,39,35-44,2025-01-01,Basic,29.99,29.99,Active,Pilates,Islamabad,8.0,1
M0104,Female,53,45-54,2024-04-10,Standard,49.99,49.99,Active,Yoga,Islamabad,16.7,1
M0105,Female,31,25-34,2023-12-20,Standard,49.99,49.99,Cancelled,Zumba,Multan,20.4,0
M0106,Female,24,18-24,2022-12-31,Basic,29.99,29.99,Active,Zumba,Multan,32.0,1
M0107,Female,55,55+,2022-12-29,Standard,49.99,49.99,Active,Zumba,Lahore,32.1,1
M0108,Male,34,25-34,2023-04-30,Basic,29.99,29.99,Expired,HIIT,Multan,28.1,0
M0109,Female,42,35-44,2024-03-22,Basic,29.99,29.99,Active,Strength Training,Lahore,17.3,1
M0110,Female,39,35-44,2022-04-19,Standard,49.99,49.99,Expired,CrossFit,Lahore,40.4,0
M0111,Female,23,18-24,2024-01-18,Basic,29.99,29.99,Active,CrossFit,Karachi,19.4,1
M0112,Male,50,45-54,2022-11-11,Annual,33.33,399.99,Active,Spin,Multan,33.7,1
M0113,Male,47,45-54,2023-09-16,Basic,29.99,29.99,Active,Zumba,Lahore,23.5,1
M0114,Other,54,45-54,2024-01-29,Basic,29.99,29.99,Active,Zumba,Multan,19.1,1
M0115,Female,23,18-24,2023-04-13,Annual,33.33,399.99,Expired,Pilates,Multan,28.6,0
M0116,Female,28,25-34,2024-08-04,Premium,79.99,79.99,Expired,Strength Training,Faisalabad,12.9,0
M0117,Male,37,35-44,2022-11-22,Annual,33.33,399.99,Active,Yoga,Rawalpindi,33.3,1
M0118,Female,55,55+,2023-07-13,Premium,79.99,79.99,Expired,Strength Training,Rawalpindi,25.7,0
M0119,Female,27,25-34,2024-04-24,Standard,49.99,49.99,Active,HIIT,Rawalpindi,16.3,1
M0120,Male,18,18-24,2024-06-16,Standard,49.99,49.99,Cancelled,Yoga,Lahore,14.5,0
M0121,Male,52,45-54,2024-02-16,Standard,49.99,49.99,Active,Yoga,Faisalabad,18.5,1
M0122,Female,28,25-34,2022-11-14,Premium,79.99,79.99,Active,Cardio,Islamabad,33.6,1
M0123,Male,46,45-54,2023-05-28,Premium,79.99,79.99,Expired,Yoga,Faisalabad,27.2,0
M0124,Female,54,45-54,2022-09-27,Premium,79.99,79.99,Cancelled,Strength Training,Multan,35.2,0
M0125,Female,42,35-44,2023-07-28,Standard,49.99,49.99,Cancelled,CrossFit,Multan,25.2,0
M0126,Male,40,35-44,2024-03-10,Standard,49.99,49.99,Active,Yoga,Lahore,17.7,1
M0127,Male,31,25-34,2022-05-25,Annual,33.33,399.99,Active,CrossFit,Islamabad,39.3,1
M0128,Female,24,18-24,2024-11-28,Basic,29.99,29.99,Cancelled,HIIT,Rawalpindi,9.1,0
M0129,Female,47,45-54,2024-11-04,Annual,33.33,399.99,Active,Cardio,Faisalabad,9.9,1
M0130,Female,44,35-44,2023-07-04,Premium,79.99,79.99,Expired,Pilates,Rawalpindi,26.0,0
M0131,Male,27,25-34,2023-08-21,Premium,79.99,79.99,Active,Pilates,Faisalabad,24.4,1
M0132,Female,32,25-34,2024-03-25,Premium,79.99,79.99,Active,Spin,Faisalabad,17.2,1
M0133,Female,44,35-44,2022-02-16,Standard,49.99,49.99,Expired,Strength Training,Rawalpindi,42.5,0
M0134,Female,28,25-34,2024-03-04,Basic,29.99,29.99,Active,CrossFit,Multan,17.9,1
M0135,Male,60,55+,2023-12-13,Standard,49.99,49.99,Active,Spin,Multan,20.6,1
M0136,Female,60,55+,2024-09-11,Basic,29.99,29.99,Expired,Cardio,Rawalpindi,11.7,0
M0137,Male,45,45-54,2024-06-06,Basic,29.99,29.99,Expired,Yoga,Multan,14.8,0
M0138,Female,39,35-44,2022-02-20,Premium,79.99,79.99,Cancelled,Yoga,Multan,42.3,0
M0139,Female,57,55+,2023-02-24,Basic,29.99,29.99,Cancelled,Zumba,Lahore,30.2,0
M0140,Male,58,55+,2022-07-21,Premium,79.99,79.99,Active,Cardio,Lahore,37.4,1
M0141,Female,44,35-44,2022-03-16,Annual,33.33,399.99,Active,Yoga,Islamabad,41.6,1
M0142,Female,41,35-44,2024-08-12,Standard,49.99,49.99,Active,Cardio,Multan,12.6,1
M0143,Male,43,35-44,2022-06-26,Premium,79.99,79.99,Active,Spin,Lahore,38.2,1
M0144,Male,37,35-44,2024-08-24,Annual,33.33,399.99,Active,Cardio,Faisalabad,12.3,1
M0145,Female,47,45-54,2023-07-15,Basic,29.99,29.99,Active,Strength Training,Islamabad,25.6,1
M0146,Male,46,45-54,2022-02-01,Standard,49.99,49.99,Expired,CrossFit,Islamabad,43.0,0
M0147,Female,19,18-24,2022-01-18,Basic,29.99,29.99,Expired,Yoga,Karachi,43.4,0
M0148,Male,46,45-54,2024-08-04,Basic,29.99,29.99,Active,Strength Training,Karachi,12.9,1
M0149,Female,45,45-54,2022-06-11,Standard,49.99,49.99,Active,Zumba,Faisalabad,38.7,1
M0150,Male,41,35-44,2024-10-28,Basic,29.99,29.99,Active,Zumba,Faisalabad,10.1,1
M0151,Female,20,18-24,2022-11-24,Basic,29.99,29.99,Expired,Cardio,Karachi,33.2,0
M0152,Female,63,55+,2022-04-06,Annual,33.33,399.99,Active,Cardio,Rawalpindi,40.9,1
M0153,Male,35,35-44,2022-06-14,Basic,29.99,29.99,Active,Zumba,Lahore,38.6,1
M0154,Female,36,35-44,2022-05-31,Premium,79.99,79.99,Active,Cardio,Karachi,39.1,1
M0155,Male,28,25-34,2023-05-29,Annual,33.33,399.99,Active,HIIT,Islamabad,27.1,1
M0156,Male,54,45-54,2023-04-16,Basic,29.99,29.99,Cancelled,Pilates,Lahore,28.5,0
M0157,Female,39,35-44,2024-12-12,Basic,29.99,29.99,Cancelled,Yoga,Karachi,8.6,0
M0158,Male,49,45-54,2023-09-24,Annual,33.33,399.99,Active,Strength Training,Lahore,23.3,1
M0159,Male,42,35-44,2023-06-10,Premium,79.99,79.99,Expired,Pilates,Multan,26.7,0
M0160,Female,62,55+,2023-05-09,Annual,33.33,399.99,Active,Spin,Islamabad,27.8,1
M0161,Male,53,45-54,2024-04-17,Annual,33.33,399.99,Active,HIIT,Lahore,16.5,1
M0162,Male,59,55+,2024-09-24,Premium,79.99,79.99,Active,Strength Training,Lahore,11.2,1
M0163,Female,62,55+,2023-10-08,Premium,79.99,79.99,Active,Zumba,Karachi,22.8,1
M0164,Male,63,55+,2024-07-10,Standard,49.99,49.99,Expired,Cardio,Multan,13.7,0
M0165,Male,46,45-54,2024-03-29,Basic,29.99,29.99,Expired,CrossFit,Islamabad,17.1,0
M0166,Female,52,45-54,2023-11-07,Premium,79.99,79.99,Active,Zumba,Multan,21.8,1
M0167,Female,53,45-54,2023-02-10,Premium,79.99,79.99,Active,Strength Training,Islamabad,30.7,1
M0168,Female,26,25-34,2024-08-15,Annual,33.33,399.99,Active,Spin,Lahore,12.5,1
M0169,Female,60,55+,2023-12-14,Standard,49.99,49.99,Active,Yoga,Islamabad,20.6,1
M0170,Male,47,45-54,2022-05-11,Basic,29.99,29.99,Active,Cardio,Islamabad,39.7,1
M0171,Female,34,25-34,2024-12-03,Premium,79.99,79.99,Cancelled,Zumba,Lahore,8.9,0
M0172,Female,25,25-34,2022-01-12,Standard,49.99,49.99,Cancelled,Yoga,Faisalabad,43.6,0
M0173,Male,35,35-44,2023-01-09,Standard,49.99,49.99,Cancelled,Zumba,Islamabad,31.7,0
M0174,Female,27,25-34,2023-05-04,Annual,33.33,399.99,Active,Yoga,Karachi,28.0,1
M0175,Female,32,25-34,2024-09-07,Standard,49.99,49.99,Active,Yoga,Islamabad,11.8,1
M0176,Male,46,45-54,2023-11-19,Basic,29.99,29.99,Active,Pilates,Rawalpindi,21.4,1
M0177,Male,56,55+,2024-07-23,Standard,49.99,49.99,Active,Zumba,Islamabad,13.3,1
M0178,Female,54,45-54,2023-09-12,Basic,29.99,29.99,Active,HIIT,Rawalpindi,23.7,1
M0179,Female,46,45-54,2022-02-08,Standard,49.99,49.99,Active,Spin,Karachi,42.7,1
M0180,Male,19,18-24,2022-01-16,Standard,49.99,49.99,Cancelled,HIIT,Karachi,43.5,0
M0181,Female,35,35-44,2023-02-18,Basic,29.99,29.99,Active,Strength Training,Islamabad,30.4,1
M0182,Male,46,45-54,2024-11-28,Basic,29.99,29.99,Active,Cardio,Lahore,9.1,1
M0183,Male,27,25-34,2022-09-29,Annual,33.33,399.99,Cancelled,Zumba,Rawalpindi,35.1,0
M0184,Male,62,55+,2023-01-24,Premium,79.99,79.99,Active,Pilates,Karachi,31.2,1
M0185,Female,18,18-24,2022-11-20,Premium,79.99,79.99,Expired,Zumba,Lahore,33.4,0
M0186,Female,29,25-34,2023-02-03,Standard,49.99,49.99,Expired,Spin,Faisalabad,30.9,0
M0187,Female,63,55+,2024-07-27,Standard,49.99,49.99,Cancelled,Pilates,Faisalabad,13.2,0
M0188,Female,25,25-34,2022-08-14,Basic,29.99,29.99,Cancelled,Zumba,Multan,36.6,0
M0189,Male,60,55+,2024-06-03,Premium,79.99,79.99,Active,HIIT,Lahore,14.9,1
M0190,Male,22,18-24,2024-01-23,Annual,33.33,399.99,Expired,Zumba,Lahore,19.3,0
M0191,Male,59,55+,2024-11-09,Annual,33.33,399.99,Active,HIIT,Multan,9.7,1
M0192,Male,30,25-34,2022-08-04,Annual,33.33,399.99,Active,Zumba,Lahore,36.9,1
M0193,Female,28,25-34,2022-11-25,Annual,33.33,399.99,Expired,Strength Training,Islamabad,33.2,0
M0194,Female,51,45-54,2024-09-14,Standard,49.99,49.99,Active,Yoga,Lahore,11.6,1
M0195,Male,55,55+,2024-08-12,Basic,29.99,29.99,Active,Spin,Karachi,12.6,1
M0196,Female,30,25-34,2024-07-02,Basic,29.99,29.99,Active,Spin,Lahore,14.0,1
M0197,Male,20,18-24,2024-11-29,Annual,33.33,399.99,Active,HIIT,Islamabad,9.1,1
M0198,Male,50,45-54,2022-08-04,Premium,79.99,79.99,Expired,CrossFit,Lahore,36.9,0
M0199,Male,59,55+,2024-02-20,Premium,79.99,79.99,Expired,Strength Training,Multan,18.4,0
M0200,Female,48,45-54,2023-12-01,Basic,29.99,29.99,Cancelled,HIIT,Islamabad,21.0,0
M0201,Male,46,45-54,2022-03-23,Premium,79.99,79.99,Cancelled,HIIT,Faisalabad,41.3,0
M0202,Male,57,55+,2024-12-05,Standard,49.99,49.99,Expired,Cardio,Faisalabad,8.9,0
M0203,Female,24,18-24,2023-11-06,Basic,29.99,29.99,Active,CrossFit,Karachi,21.8,1
M0204,Female,39,35-44,2023-07-26,Basic,29.99,29.99,Expired,CrossFit,Rawalpindi,25.2,0
M0205,Female,34,25-34,2024-01-01,Basic,29.99,29.99,Expired,Yoga,Multan,20.0,0
M0206,Female,31,25-34,2023-04-19,Basic,29.99,29.99,Cancelled,Spin,Rawalpindi,28.4,0
M0207,Male,24,18-24,2024-02-02,Basic,29.99,29.99,Expired,Yoga,Multan,19.0,0
M0208,Male,40,35-44,2024-05-28,Standard,49.99,49.99,Expired,Pilates,Karachi,15.1,0
M0209,Female,56,55+,2023-05-31,Standard,49.99,49.99,Active,Spin,Faisalabad,27.1,1
M0210,Male,31,25-34,2025-01-03,Basic,29.99,29.99,Active,Strength Training,Islamabad,7.9,1
M0211,Female,46,45-54,2024-04-28,Annual,33.33,399.99,Active,CrossFit,Faisalabad,16.1,1
M0212,Male,20,18-24,2022-03-25,Standard,49.99,49.99,Active,HIIT,Rawalpindi,41.3,1
M0213,Female,42,35-44,2024-07-22,Basic,29.99,29.99,Active,HIIT,Rawalpindi,13.3,1
M0214,Female,42,35-44,2022-07-27,Standard,49.99,49.99,Active,Spin,Islamabad,37.2,1
M0215,Female,41,35-44,2022-07-18,Standard,49.99,49.99,Active,Strength Training,Rawalpindi,37.5,1
M0216,Female,34,25-34,2023-06-11,Standard,49.99,49.99,Active,Cardio,Rawalpindi,26.7,1
M0217,Female,39,35-44,2023-06-05,Basic,29.99,29.99,Active,Spin,Karachi,26.9,1
M0218,Male,25,25-34,2023-08-07,Standard,49.99,49.99,Active,Pilates,Karachi,24.8,1
M0219,Female,42,35-44,2023-08-30,Premium,79.99,79.99,Expired,Pilates,Lahore,24.1,0
M0220,Male,34,25-34,2024-02-18,Standard,49.99,49.99,Active,Pilates,Multan,18.4,1
M0221,Female,49,45-54,2022-04-02,Premium,79.99,79.99,Expired,Yoga,Karachi,41.0,0
M0222,Female,50,45-54,2022-08-13,Basic,29.99,29.99,Active,HIIT,Multan,36.6,1
M0223,Male,32,25-34,2022-07-13,Annual,33.33,399.99,Active,Zumba,Rawalpindi,37.6,1
M0224,Female,23,18-24,2022-11-13,Premium,79.99,79.99,Active,Zumba,Lahore,33.6,1
M0225,Male,37,35-44,2023-12-17,Annual,33.33,399.99,Active,Strength Training,Islamabad,20.5,1
M0226,Male,43,35-44,2022-07-27,Standard,49.99,49.99,Cancelled,Zumba,Lahore,37.2,0
