CheckInID,MemberID,CheckInDate,CheckInHour,ClassAttended,DurationMinutes
CI000001,M0001,2025-05-18,10,HIIT,52
CI000002,M0002,2025-08-06,7,Pilates,32
CI000003,M0002,2025-07-14,11,Spin,72
CI000004,M0002,2025-06-01,16,Pilates,85
CI000005,M0002,2025-04-04,19,Gym Floor,39
CI000006,M0002,2025-05-19,8,Gym Floor,62
CI000007,M0002,2025-05-24,18,Gym Floor,70
CI000008,M0002,2025-05-08,20,Yoga,46
CI000009,M0002,2025-08-12,8,Yoga,57
CI000010,M0002,2025-05-25,19,Gym Floor,37
CI000011,M0002,2025-08-30,18,Gym Floor,61
CI000012,M0002,2025-07-05,12,Cardio,66
CI000013,M0002,2025-07-03,10,CrossFit,37
CI000014,M0002,2025-08-30,6,Gym Floor,68
CI000015,M0002,2025-04-03,6,CrossFit,42
CI000016,M0002,2025-08-29,10,Zumba,58
CI000017,M0002,2025-08-17,19,Gym Floor,53
CI000018,M0002,2025-06-06,16,Gym Floor,55
CI000019,M0002,2025-07-24,21,Gym Floor,59
CI000020,M0002,2025-04-18,19,Spin,25
CI000021,M0002,2025-05-17,19,HIIT,66
CI000022,M0002,2025-07-06,19,CrossFit,45
CI000023,M0002,2025-05-04,20,CrossFit,23
CI000024,M0002,2025-06-07,10,Strength Training,63
CI000025,M0002,2025-07-04,16,HIIT,46
CI000026,M0002,2025-07-24,9,Pilates,72
CI000027,M0002,2025-06-18,19,Gym Floor,37
CI000028,M0002,2025-04-04,18,Spin,33
CI000029,M0003,2025-08-12,7,Spin,51
CI000030,M0003,2025-04-30,16,Cardio,58
CI000031,M0003,2025-05-04,19,Yoga,43
CI000032,M0003,2025-05-18,19,Gym Floor,38
CI000033,M0004,2025-05-17,12,Gym Floor,38
CI000034,M0004,2025-05-20,16,Gym Floor,66
CI000035,M0004,2025-04-01,11,Gym Floor,50
CI000036,M0004,2025-07-24,8,Zumba,38
CI000037,M0004,2025-08-01,8,Strength Training,48
CI000038,M0004,2025-06-17,19,Spin,52
