MemberID,Gender,Age,AgeGroup,JoinDate,MembershipPlan,MonthlyFee,PlanPrice,Status,PreferredClass,City
M0001,Male,38,35-44,2024-05-10,Basic,29.99,29.99,Expired,Strength Training,Islamabad
M0002,Male,20,18-24,2022-03-29,Standard,49.99,49.99,Active,HIIT,Rawalpindi
M0003,Male,50,45-54,2024-03-16,Basic,29.99,29.99,Cancelled,Pilates,Faisalabad
M0004,Male,59,55+,2024-01-18,Basic,29.99,29.99,Active,Cardio,Multan
M0005,Female,20,18-24,2024-08-15,Premium,79.99,79.99,Active,Zumba,Faisalabad
M0006,Female,31,25-34,2024-04-20,Basic,29.99,29.99,Cancelled,Yoga,Karachi
M0007,Female,24,18-24,2023-07-19,Basic,29.99,29.99,Active,CrossFit,Islamabad
M0008,Male,21,18-24,2022-07-25,Standard,49.99,49.99,Active,Pilates,Multan
M0009,Female,27,25-34,2023-12-04,Premium,79.99,79.99,Active,Pilates,Multan
M0010,Male,62,55+,2024-10-13,Annual,33.33,399.99,Expired,Spin,Karachi
M0011,Male,58,55+,2022-08-05,Basic,29.99,29.99,Active,Spin,Lahore
M0012,Male,41,35-44,2023-06-05,Premium,79.99,79.99,Active,Strength Training,Lahore
M0013,Female,22,18-24,2023-01-27,Premium,79.99,79.99,Expired,HIIT,Lahore
M0014,Male,51,45-54,2024-11-17,Annual,33.33,399.99,Active,Zumba,Multan
M0015,Female,44,35-44,2024-03-15,Premium,79.99,79.99,Expired,Strength Training,Faisalabad
M0016,Male,31,25-34,2023-10-05,Premium,79.99,79.99,Expired,Yoga,Karachi
M0017,Male,56,55+,2024-06-10,Basic,29.99,29.99,Active,Spin,Rawalpindi
M0018,Male,60,55+,2023-04-30,Basic,29.99,29.99,Active,Spin,Islamabad
M0019,Male,23,18-24,2023-08-01,Standard,49.99,49.99,Active,Cardio,Rawalpindi
M0020,Female,30,25-34,2022-07-09,Basic,29.99,29.99,Active,Zumba,Multan
M0021,Male,59,55+,2023-10-11,Standard,49.99,49.99,Expired,Zumba,Islamabad
M0022,Female,19,18-24,2023-03-18,Annual,33.33,399.99,Active,Spin,Lahore
M0023,Male,19,18-24,2024-08-09,Basic,29.99,29.99,Expired,Zumba,Faisalabad
M0024,Male,61,55+,2023-01-20,Basic,29.99,29.99,Active,Pilates,Rawalpindi
M0025,Male,55,55+,2022-07-22,Standard,49.99,49.99,Active,Cardio,Karachi
M0026,Female,33,25-34,2022-07-17,Standard,49.99,49.99,Cancelled,Cardio,Islamabad
M0027,Male,53,45-54,2023-04-09,Basic,29.99,29.99,Expired,Strength Training,Islamabad
M0028,Male,57,55+,2024-05-13,Basic,29.99,29.99,Cancelled,HIIT,Lahore
M0029,Male,59,55+,2023-04-18,Basic,29.99,29.99,Active,Cardio,Karachi
M0030,Other,19,18-24,2023-09-16,Standard,49.99,49.99,Active,Pilates,Rawalpindi
M0031,Male,26,25-34,2023-03-29,Annual,33.33,399.99,Active,Strength Training,Islamabad
M0032,Female,41,35-44,2023-02-08,Annual,33.33,399.99,Expired,Yoga,Rawalpindi
M0033,Female,42,35-44,2022-04-14,Standard,49.99,49.99,Active,Spin,Karachi
M0034,Other,33,25-34,2024-05-27,Standard,49.99,49.99,Expired,Cardio,Lahore
M0035,Female,25,25-34,2024-03-11,Standard,49.99,49.99,Active,Yoga,Lahore
M0036,Male,39,35-44,2023-11-19,Basic,29.99,29.99,Active,Pilates,Multan
M0037,Male,51,45-54,2023-07-17,Annual,33.33,399.99,Active,Yoga,Rawalpindi
M0038,Female,36,35-44,2024-05-28,Standard,49.99,49.99,Active,CrossFit,Lahore
M0039,Female,63,55+,2022-01-17,Annual,33.33,399.99,Active,Strength Training,Rawalpindi
M0040,Female,48,45-54,2024-11-26,Annual,33.33,399.99,Active,Yoga,Rawalpindi
M0041,Male,50,45-54,2022-07-10,Standard,49.99,49.99,Active,CrossFit,Karachi
M0042,Male,41,35-44,2023-07-20,Premium,79.99,79.99,Expired,Zumba,Multan
M0043,Female,43,35-44,2024-08-19,Basic,29.99,29.99,Active,Yoga,Lahore
M0044,Female,43,35-44,2022-09-03,Standard,49.99,49.99,Active,Yoga,Faisalabad
M0045,Male,62,55+,2024-04-07,Standard,49.99,49.99,Active,CrossFit,Multan
M0046,Male,32,25-34,2023-02-04,Basic,29.99,29.99,Cancelled,HIIT,Multan
M0047,Female,39,35-44,2022-02-20,Standard,49.99,49.99,Active,Pilates,Lahore
M0048,Female,54,45-54,2023-11-13,Premium,79.99,79.99,Active,Spin,Rawalpindi
M0049,Male,23,18-24,2024-09-30,Annual,33.33,399.99,Active,Cardio,Multan
M0050,Female,33,25-34,2022-02-16,Premium,79.99,79.99,Active,Cardio,Karachi
M0051,Male,43,35-44,2023-10-19,Standard,49.99,49.99,Active,Spin,Multan
M0052,Male,18,18-24,2024-03-01,Standard,49.99,49.99,Expired,Yoga,Karachi
M0053,Female,18,18-24,2023-07-14,Basic,29.99,29.99,Cancelled,Zumba,Faisalabad
M0054,Male,43,35-44,2024-02-29,Premium,79.99,79.99,Active,Spin,Multan
M0055,Male,64,55+,2023-11-28,Standard,49.99,49.99,Active,Pilates,Multan
M0056,Male,43,35-44,2024-10-08,Basic,29.99,29.99,Active,Zumba,Rawalpindi
M0057,Female,22,18-24,2022-12-23,Standard,49.99,49.99,Expired,Cardio,Karachi
M0058,Female,22,18-24,2024-02-01,Annual,33.33,399.99,Active,CrossFit,Karachi
M0059,Female,37,35-44,2023-05-12,Annual,33.33,399.99,Active,HIIT,Islamabad
M0060,Female,60,55+,2023-01-15,Basic,29.99,29.99,Cancelled,Strength Training,Lahore
M0061,Male,48,45-54,2024-12-02,Basic,29.99,29.99,Active,Spin,Islamabad
M0062,Male,25,25-34,2024-01-24,Premium,79.99,79.99,Active,HIIT,Karachi
M0063,Female,21,18-24,2024-10-18,Premium,79.99,79.99,Active,HIIT,Faisalabad
M0064,Female,38,35-44,2025-01-03,Annual,33.33,399.99,Active,Cardio,Karachi
M0065,Male,52,45-54,2023-04-02,Standard,49.99,49.99,Expired,HIIT,Lahore
M0066,Male,54,45-54,2022-04-06,Standard,49.99,49.99,Cancelled,Zumba,Faisalabad
M0067,Female,34,25-34,2022-10-06,Premium,79.99,79.99,Active,Cardio,Lahore
M0068,Female,29,25-34,2023-02-01,Annual,33.33,399.99,Active,Strength Training,Rawalpindi
M0069,Male,36,35-44,2022-09-22,Standard,49.99,49.99,Cancelled,CrossFit,Faisalabad
M0070,Female,38,35-44,2024-12-28,Basic,29.99,29.99,Active,Zumba,Lahore
M0071,Other,56,55+,2024-11-28,Basic,29.99,29.99,Active,HIIT,Faisalabad
M0072,Female,29,25-34,2024-01-03,Standard,49.99,49.99,Active,HIIT,Rawalpindi
M0073,Male,30,25-34,2024-07-01,Basic,29.99,29.99,Active,Yoga,Karachi
M0074,Male,54,45-54,2024-03-05,Premium,79.99,79.99,Active,CrossFit,Faisalabad
M0075,Female,62,55+,2023-05-15,Basic,29.99,29.99,Cancelled,Pilates,Rawalpindi
M0076,Female,27,25-34,2023-03-21,Standard,49.99,49.99,Expired,Zumba,Multan
M0077,Male,37,35-44,2022-06-22,Basic,29.99,29.99,Active,Spin,Lahore
M0078,Female,42,35-44,2024-10-21,Premium,79.99,79.99,Active,Pilates,Faisalabad
M0079,Male,62,55+,2022-05-14,Premium,79.99,79.99,Cancelled,Spin,Multan
M0080,Female,36,35-44,2022-07-22,Annual,33.33,399.99,Active,HIIT,Lahore
M0081,Female,27,25-34,2023-10-18,Premium,79.99,79.99,Cancelled,CrossFit,Multan
M0082,Female,45,45-54,2024-08-29,Basic,29.99,29.99,Active,CrossFit,Karachi
M0083,Female,44,35-44,2023-06-24,Basic,29.99,29.99,Cancelled,Yoga,Lahore
M0084,Male,46,45-54,2024-07-17,Standard,49.99,49.99,Expired,Strength Training,Faisalabad
M0085,Female,64,55+,2023-01-25,Annual,33.33,399.99,Active,HIIT,Multan
M0086,Male,18,18-24,2024-05-26,Basic,29.99,29.99,Active,Zumba,Lahore
M0087,Female,44,35-44,2024-05-02,Premium,79.99,79.99,Active,Yoga,Karachi
M0088,Female,23,18-24,2022-04-15,Standard,49.99,49.99,Active,Spin,Faisalabad
M0089,Female,54,45-54,2024-02-10,Standard,49.99,49.99,Expired,Strength Training,Lahore
M0090,Male,30,25-34,2023-04-02,Basic,29.99,29.99,Cancelled,Yoga,Lahore
M0091,Male,25,25-34,2023-05-03,Standard,49.99,49.99,Active,HIIT,Karachi
M0092,Female,29,25-34,2023-03-14,Premium,79.99,79.99,Active,Cardio,Faisalabad
